date,close,change%,open,volume
2017-11-24,0.244642,0.737,0.242851,211486000.0
2017-11-23,0.242402,1.427,0.238991,240684992.0
2017-11-22,0.238859,2.674,0.232642,167078000.0
2017-11-21,0.233271,-1.979,0.237978,217851008.0
2017-11-20,0.238759,3.207,0.231336,214663008.0
2017-11-19,0.231016,1.262,0.22814,193808000.0
2017-11-18,0.228627,0.918,0.226547,144298000.0
2017-11-17,0.226581,0.805,0.224768,397071008.0
2017-11-16,0.227107,6.795,0.212655,1022579968.0
2017-11-15,0.212956,1.924,0.208937,100294000.0
2017-11-14,0.209825,3.019,0.203679,127361000.0
2017-11-13,0.203442,3.023,0.197472,132567000.0
2017-11-12,0.197339,-6.127,0.210214,251175008.0
2017-11-11,0.21043,2.175,0.205948,134503008.0
2017-11-10,0.206483,-5.393,0.218256,141032992.0
2017-11-09,0.217488,-0.193,0.217911,147916992.0
2017-11-08,0.217437,3.209,0.210675,156959008.0
2017-11-07,0.210354,2.56,0.205103,114073000.0
2017-11-06,0.20599,1.99,0.201967,102233000.0
2017-11-05,0.202055,-0.6,0.203274,46959000.0
2017-11-04,0.20375,-2.081,0.208083,74013200.0
2017-11-03,0.208133,0.936,0.206205,373401984.0
2017-11-02,0.205861,5.786,0.194596,197770000.0
2017-11-01,0.194124,-3.056,0.200247,67921000.0
2017-10-31,0.200558,-0.914,0.202405,43875700.0
2017-10-30,0.202711,-0.182,0.203076,34835100.0
2017-10-29,0.202785,0.71,0.201358,62511100.0
2017-10-28,0.201835,-0.375,0.202592,26864900.0
2017-10-27,0.202785,-0.432,0.203668,29623000.0
2017-10-26,0.203628,-0.401,0.204444,38193100.0
2017-10-25,0.204604,-1.212,0.207113,75017504.0
2017-10-24,0.206644,5.666,0.195567,220080992.0
2017-10-23,0.196928,-3.233,0.203504,99914800.0
2017-10-22,0.204177,-3.214,0.210958,75849504.0
2017-10-21,0.211016,0.395,0.210189,116807000.0
2017-10-20,0.210549,-2.111,0.215086,182704000.0
2017-10-19,0.21515,-1.411,0.218229,304542016.0
2017-10-18,0.21852,-5.493,0.231216,354224992.0
2017-10-17,0.232064,-9.383,0.256098,411264992.0
2017-10-16,0.256232,-2.715,0.263386,963158016.0
2017-10-15,0.263983,2.504,0.257537,280211008.0
2017-10-14,0.25732,-1.467,0.26115,211160000.0
2017-10-13,0.260489,4.914,0.248285,398688992.0
2017-10-12,0.248414,-6.274,0.265046,245004000.0
2017-10-11,0.264439,1.45,0.260658,161206000.0
2017-10-10,0.260733,3.129,0.252825,384048992.0
2017-10-09,0.251825,-9.661,0.278758,610110016.0
2017-10-08,0.279944,17.469,0.238312,529838016.0
2017-10-07,0.23861,1.987,0.233963,77950200.0
2017-10-06,0.234039,-1.552,0.237726,167492000.0
2017-10-05,0.237016,9.94,0.215583,404299008.0
2017-10-04,0.214774,5.688,0.203218,123573000.0
2017-10-03,0.203318,0.054,0.203209,48703100.0
2017-10-02,0.202676,-1.65,0.206077,77412304.0
2017-10-01,0.206532,4.509,0.197622,51345500.0
2017-09-30,0.197529,1.914,0.193824,54729300.0
2017-09-29,0.193606,-1.275,0.196105,72291200.0
2017-09-28,0.196131,-3.16,0.202532,117962000.0
2017-09-27,0.203299,9.714,0.185297,249934000.0
2017-09-26,0.186119,2.281,0.181968,70000704.0
2017-09-25,0.181487,3.401,0.175519,35622600.0
2017-09-24,0.175787,-1.341,0.178175,20566500.0
2017-09-23,0.177882,2.601,0.173371,32476700.0
2017-09-22,0.17351,1.131,0.171567,37244700.0
2017-09-21,0.171754,-5.1,0.180981,43583200.0
2017-09-20,0.182078,-0.887,0.18371,34521600.0
2017-09-19,0.184041,-3.045,0.189819,54046100.0
2017-09-18,0.189768,6.427,0.178309,88397904.0
2017-09-17,0.178393,0.011,0.178377,49161100.0
2017-09-16,0.179082,-1.561,0.181925,84495200.0
2017-09-15,0.181358,9.889,0.165035,289414016.0
2017-09-14,0.164167,-18.091,0.200427,152532992.0
2017-09-13,0.200778,-4.222,0.20963,105471000.0
2017-09-12,0.209303,-2.588,0.21486,94519504.0
2017-09-11,0.214441,0.908,0.212513,138339008.0
2017-09-10,0.213031,1.636,0.209606,117091000.0
2017-09-09,0.209995,-0.615,0.211293,51185500.0
2017-09-08,0.211518,-5.411,0.223615,151328992.0
2017-09-07,0.22364,-1.21,0.226382,103080000.0
2017-09-06,0.226186,5.224,0.214951,163296992.0
2017-09-05,0.215189,4.914,0.20511,242636000.0
2017-09-04,0.204968,-10.407,0.228781,239612992.0
